lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
CNDP2	0.046	0.069	0.091	0	6.64	0.675	0.012	0	0	1	0	0.001	10
UBIAD1	0.036	0.056	0.075	0	5.851	0.828	0.01	0	0	1	0	0.003	11
LINC01362	-0.235	-0.17	-0.105	0	0.859	0.354	0.033	0	0	1	0.002	0.021	2
SLC29A1	-0.182	-0.132	-0.081	0	5.631	0.688	0.026	0	0	1	0.002	0.021	9
COMMD2	0.077	0.127	0.177	0	10.095	0.343	0.026	0.001	10.849	1.122	0.004	0.043	10
ATP6V0D2	-0.517	-0.368	-0.219	0	3.242	0.518	0.076	0	0	1	0.006	0.064	5
LOC91561	0.024	0.041	0.058	0	1.083	0.781	0.009	0	0	1	0.007	0.079	4
SECTM1	-0.418	-0.296	-0.174	0	3.217	0.864	0.062	0	0	1	0.007	0.079	8
TMED1	0.032	0.056	0.08	0	2.864	0.969	0.012	0	0	1	0.01	0.106	10
LOC400566	-0.183	-0.128	-0.073	0	0.974	0.614	0.028	0	0	1	0.011	0.122	3
PFKP	-0.129	-0.09	-0.051	0	6.922	0.437	0.02	0	0	1	0.011	0.122	8
TSPAN33	0.049	0.086	0.122	0	6.303	0.789	0.019	0	0	1	0.011	0.116	11
ZFR	0.029	0.051	0.073	0	4.322	0.932	0.011	0	0	1	0.012	0.132	11
DFFA	0.062	0.11	0.158	0	7.198	0.515	0.025	0	0	1	0.013	0.14	9
TCEA3	0.075	0.136	0.196	0	4.879	0.77	0.031	0	0	1	0.018	0.194	9
AMTN	-0.434	-0.3	-0.165	0	1.401	0.705	0.069	0	0	1	0.02	0.218	4
FAM205B	-0.173	-0.118	-0.064	0	0.076	0.783	0.028	0	0	1	0.026	0.284	2
RYBP	0.055	0.101	0.148	0	8.121	0.617	0.024	0	0	1	0.026	0.284	11
BSCL2	-0.064	-0.044	-0.023	0	2.847	0.944	0.01	0	0	1	0.029	0.316	9
FCGBP	0.156	0.29	0.424	0	11.497	0.243	0.068	0.009	21.716	1.277	0.03	0.32	10
LRRCC1	0.054	0.1	0.147	0	5.704	0.839	0.024	0	0	1	0.031	0.33	11
MLEC	0.134	0.253	0.372	0	1.782	0.939	0.061	0	0	1	0.033	0.358	7
PIB5PA	-0.147	-0.1	-0.053	0	2.354	0.502	0.024	0	0	1	0.033	0.355	4
ISOC2	0.037	0.07	0.104	0	6.712	0.568	0.017	0	0	1	0.035	0.378	9
SMARCA5	0.036	0.069	0.101	0	6.47	0.595	0.017	0	0	1	0.036	0.391	9
TMCC1	-0.135	-0.091	-0.048	0	11.711	0.305	0.022	0.001	14.61	1.171	0.036	0.391	11
USP46	0.032	0.06	0.089	0	4.404	0.883	0.015	0	0	1	0.038	0.407	10
CALR	0.036	0.071	0.105	0	8.004	0.628	0.018	0	0	1	0.052	0.56	11
ZNF179	-0.106	-0.071	-0.037	0	0.266	0.875	0.018	0	0	1	0.052	0.56	3
ZNF271	0.027	0.053	0.079	0	2.393	0.793	0.013	0	0	1	0.053	0.575	6
MFI2	0.043	0.085	0.128	0	0.196	0.906	0.021	0	0	1	0.059	0.634	3
CIRH1A	-0.092	-0.062	-0.031	0	5.092	0.405	0.016	0	1.801	1.018	0.065	0.693	6
MGC2747	0.023	0.046	0.069	0	1.252	0.535	0.012	0	0	1	0.065	0.698	3
SPARCL1	-0.041	-0.028	-0.014	0	8.804	0.456	0.007	0	0	1	0.067	0.716	10
COQ10A	-0.084	-0.056	-0.028	0	8.836	0.453	0.014	0	0	1	0.068	0.727	10
Kua	0.033	0.066	0.099	0	0.491	0.782	0.017	0	0	1	0.068	0.729	3
C1orf171	0.068	0.137	0.206	0	0.166	0.92	0.035	0	0	1	0.07	0.747	3
ARL14EP	-0.393	-0.261	-0.129	0	2.916	0.713	0.067	0	0	1	0.072	0.772	6
LOC101927377	0.047	0.095	0.144	0	0.84	0.359	0.025	0	0	1	0.075	0.81	2
RPL31	0.028	0.056	0.085	0	7.85	0.448	0.015	0	0	1	0.075	0.81	9
SLC25A29	0.044	0.089	0.135	0	4.728	0.693	0.023	0	0	1	0.075	0.81	8
VHL	0.032	0.066	0.099	0	5.869	0.662	0.017	0	0	1	0.075	0.81	9
PTD004	-0.197	-0.13	-0.064	0	1.935	0.38	0.034	0	0	1	0.077	0.826	3
CGI-115	0.032	0.067	0.101	0	0.241	0.887	0.018	0	0	1	0.08	0.854	3
DDR1	0.038	0.078	0.118	0	8.713	0.464	0.021	0	0	1	0.08	0.854	10
GS1-24F4.2	-0.198	-0.131	-0.064	0	0.036	0.85	0.034	0	0	1	0.08	0.854	2
TFG	0.05	0.103	0.155	0	2.637	0.977	0.027	0	0	1	0.08	0.86	10
ANKRD32	0.066	0.138	0.21	0	1.168	0.948	0.037	0	0	1	0.081	0.872	6
CABP1	-0.122	-0.08	-0.039	0	6.407	0.602	0.021	0	0	1	0.081	0.872	9
CCT4	0.024	0.049	0.074	0	5.121	0.745	0.013	0	0	1	0.081	0.872	9
PHF16	0.035	0.073	0.111	0	2.425	0.658	0.019	0	0	1	0.081	0.872	5
TPSG1	-0.192	-0.126	-0.061	0	3.059	0.548	0.034	0	0	1	0.081	0.872	5
XRCC1	-0.085	-0.056	-0.027	0	5.744	0.836	0.015	0	0	1	0.081	0.872	11
AGPAT7	-0.15	-0.099	-0.047	0	0.33	0.848	0.026	0	0	1	0.082	0.881	3
CFDP1	0.027	0.058	0.088	0	6.107	0.806	0.015	0	0	1	0.082	0.881	11
NAG6	-0.104	-0.068	-0.033	0	1.431	0.489	0.018	0	0	1	0.082	0.881	3
NPAS3	0.03	0.064	0.097	0	4.419	0.731	0.017	0	0	1	0.082	0.881	8
SCAMP5	-0.074	-0.049	-0.023	0	2.492	0.991	0.013	0	0	1	0.082	0.881	11
SLA	0.035	0.074	0.113	0	7.083	0.718	0.02	0	0	1	0.082	0.881	11
DSCR1L1	-0.115	-0.075	-0.036	0	1.51	0.68	0.02	0	0	1	0.087	0.936	4
C5orf21	0.019	0.04	0.061	0	0.61	0.737	0.011	0	0	1	0.096	1	3
C3orf39	-0.094	-0.061	-0.029	0	0.191	0.979	0.017	0	0	1	0.097	1	4
RAB11FIP5	-0.089	-0.058	-0.027	0	7.091	0.628	0.016	0	0	1	0.099	1	10
PREX1	0.044	0.095	0.147	0	5.419	0.712	0.026	0	0	1	0.102	1	9
MGC33692	-0.079	-0.052	-0.024	0	0.059	0.971	0.014	0	0	1	0.104	1	3
PLA2G2C	-0.549	-0.357	-0.165	0	1.356	0.508	0.098	0	0	1	0.104	1	3
C5orf16	-0.22	-0.143	-0.066	0	1.505	0.471	0.039	0	0	1	0.107	1	3
FAM51A1	0.026	0.057	0.089	0	1.942	0.379	0.016	0	0	1	0.11	1	3
NDUFB8	-0.04	-0.026	-0.012	0	4.006	0.857	0.007	0	0	1	0.111	1	9
EFTUD1	0.16	0.35	0.54	0	0.211	0.9	0.097	0	0	1	0.112	1	3
CHP2	-0.236	-0.153	-0.07	0	1.226	0.942	0.042	0	0	1	0.113	1	6
FAM222A-AS1	-0.124	-0.08	-0.037	0	0.07	0.792	0.022	0	0	1	0.113	1	2
FLJ22318	-0.097	-0.063	-0.029	0	2.651	0.266	0.017	0	24.566	1.326	0.113	1	3
HAVCR2	0.062	0.137	0.212	0	12.112	0.278	0.038	0.003	17.438	1.211	0.115	1	11
HIST2H2BE	0.05	0.109	0.169	0	3.424	0.754	0.03	0	0	1	0.115	1	7
PIGV	0.03	0.065	0.101	0	7.604	0.369	0.018	0	7.94	1.086	0.115	1	8
RNMT	-0.067	-0.043	-0.02	0	8.62	0.473	0.012	0	0	1	0.118	1	10
WDR40A	0.029	0.065	0.1	0	1.63	0.653	0.018	0	0	1	0.127	1	4
SS18	0.151	0.338	0.525	0	2.286	0.515	0.095	0	0	1	0.129	1	4
ALMS1P	0.093	0.209	0.325	0	1.089	0.58	0.059	0	0	1	0.132	1	3
PIP4K2B	0.081	0.182	0.284	0	2.488	0.477	0.052	0	0	1	0.132	1	4
C9orf45	-0.113	-0.072	-0.032	0	0.336	0.845	0.021	0	0	1	0.136	1	3
LOC100507395	-0.425	-0.273	-0.121	0	0.709	0.4	0.077	0	0	1	0.136	1	2
SH2D4A	0.072	0.164	0.256	0	3.479	0.481	0.047	0	0	1	0.141	1	5
ENTPD6	-0.096	-0.062	-0.027	0	6.353	0.785	0.018	0	0	1	0.144	1	11
HIST1H2BD	0.029	0.066	0.104	0	5.51	0.48	0.019	0	0	1	0.145	1	7
CDYL	0.105	0.239	0.374	0	0.863	0.93	0.069	0	0	1	0.148	1	5
CTBP1	-0.069	-0.044	-0.019	0	8.533	0.577	0.013	0	0	1	0.148	1	11
CTTN	-0.061	-0.039	-0.017	0.001	8.389	0.591	0.011	0	0	1	0.149	1	11
INA	-0.095	-0.061	-0.026	0.001	5.703	0.457	0.018	0	0	1	0.149	1	7
SOX4	0.035	0.08	0.125	0.001	4.269	0.934	0.023	0	0	1	0.149	1	11
CYP2C9	-0.149	-0.095	-0.041	0.001	0.967	0.809	0.028	0	0	1	0.159	1	4
FAM86C1P	-0.684	-0.436	-0.188	0.001	0.749	0.387	0.127	0	0	1	0.159	1	2
NUDT3	0.02	0.047	0.073	0.001	7.836	0.551	0.014	0	0	1	0.159	1	10
SDF2L1	0.033	0.077	0.121	0.001	7.522	0.675	0.022	0	0	1	0.159	1	11
AARSD1	-0.065	-0.041	-0.018	0.001	5.779	0.448	0.012	0	0	1	0.17	1	7
BM88	-0.092	-0.058	-0.025	0.001	0.632	0.729	0.017	0	0	1	0.17	1	3
COPG	-0.082	-0.052	-0.022	0.001	2.248	0.69	0.015	0	0	1	0.17	1	5
GALE	-0.072	-0.046	-0.019	0.001	7.297	0.697	0.013	0	0	1	0.17	1	11
GLS2	-0.1	-0.064	-0.027	0.001	2.573	0.958	0.019	0	0	1	0.17	1	9
PKNOX2	-0.079	-0.05	-0.021	0.001	4.237	0.645	0.015	0	0	1	0.17	1	7
SF3A1	-0.082	-0.052	-0.022	0.001	4.563	0.803	0.015	0	0	1	0.17	1	9
CDIN1	0.116	0.274	0.433	0.001	0.456	0.796	0.081	0	0	1	0.175	1	3
DDEFL1	0.035	0.083	0.131	0.001	0.316	0.854	0.025	0	0	1	0.175	1	3
FBXW8	-0.306	-0.194	-0.082	0.001	6.376	0.497	0.057	0	0	1	0.175	1	8
GTPBP6	0.025	0.06	0.094	0.001	3.153	0.924	0.018	0	0	1	0.18	1	9
ITGB5	0.032	0.076	0.12	0.001	6.869	0.443	0.022	0	0	1	0.18	1	8
SLC6A17	-0.116	-0.073	-0.031	0.001	5.049	0.538	0.022	0	0	1	0.182	1	7
SRBD1	0.107	0.255	0.404	0.001	4.204	0.756	0.076	0	0	1	0.182	1	8
CLUHP3	-0.498	-0.315	-0.131	0.001	0.996	0.318	0.094	0	0	1	0.184	1	2
TEX56P	-0.874	-0.551	-0.229	0.001	0.637	0.425	0.164	0	0	1	0.187	1	2
FLJ21369	-0.275	-0.173	-0.072	0.001	0.338	0.561	0.052	0	0	1	0.194	1	2
FLJ25067	-0.096	-0.06	-0.025	0.001	0.407	0.816	0.018	0	0	1	0.194	1	3
PKN2	0.042	0.102	0.162	0.001	7.992	0.535	0.031	0	0	1	0.194	1	10
TMEM101	0.02	0.049	0.078	0.001	6.208	0.719	0.015	0	0	1	0.194	1	10
C20orf100	-0.141	-0.089	-0.036	0.001	1.38	0.502	0.027	0	0	1	0.2	1	3
CDK2AP2	0.035	0.087	0.138	0.001	6.579	0.681	0.026	0	0	1	0.2	1	10
CKMT1A	-0.103	-0.065	-0.026	0.001	4.249	0.643	0.019	0	0	1	0.2	1	7
GLOD5	-0.092	-0.058	-0.024	0.001	0.557	0.99	0.017	0	0	1	0.2	1	6
HIST1H2AJ	-0.242	-0.152	-0.062	0.001	0.9	0.638	0.046	0	0	1	0.2	1	3
MACF1	0.022	0.053	0.085	0.001	6.301	0.709	0.016	0	0	1	0.2	1	10
PANX2	-0.115	-0.073	-0.03	0.001	8.237	0.411	0.022	0	2.874	1.03	0.2	1	9
PSMF1	0.018	0.045	0.071	0.001	4.669	0.7	0.014	0	0	1	0.2	1	8
PSMD2	-0.056	-0.035	-0.014	0.001	7.036	0.533	0.011	0	0	1	0.201	1	9
C21orf6	-0.084	-0.053	-0.021	0.001	0.019	0.99	0.016	0	0	1	0.202	1	3
