lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
CNDP2	0.046	0.075	0.104	0	10.457	0.315	0.015	0	13.934	1.162	0.011	0.113	10
LOC102723678	-0.392	-0.281	-0.169	0	0.142	0.706	0.057	0	0	1	0.011	0.113	2
UGCGL2	0.036	0.072	0.108	0	1.963	0.58	0.018	0	0	1	0.677	1	4
AKAP14	-0.144	-0.093	-0.042	0	2.829	0.83	0.026	0	0	1	0.72	1	7
ARSJ	-0.219	-0.141	-0.062	0	2.152	0.542	0.04	0	0	1	0.72	1	4
C1orf168	0.042	0.089	0.136	0	0.005	0.943	0.024	0	0	1	0.72	1	2
CAPN14	-0.276	-0.176	-0.075	0.001	3.966	0.554	0.051	0	0	1	0.72	1	6
DRG2	0.022	0.049	0.076	0	5.082	0.886	0.014	0	0	1	0.72	1	11
FAM222A-AS1	-0.126	-0.082	-0.039	0	0.464	0.496	0.022	0	0	1	0.72	1	2
FAM44B	0.018	0.041	0.064	0	1.063	0.786	0.012	0	0	1	0.72	1	4
HEATR7B2	-0.585	-0.372	-0.159	0.001	0.01	0.92	0.109	0	0	1	0.72	1	2
HSF2BP	-0.162	-0.103	-0.044	0.001	1.133	0.951	0.03	0	0	1	0.72	1	6
KIAA0828	-0.069	-0.044	-0.019	0	1.983	0.371	0.013	0	0	1	0.72	1	3
LHFP	-0.073	-0.047	-0.02	0.001	2.48	0.78	0.013	0	0	1	0.72	1	6
LOC57149	0.017	0.039	0.062	0.001	0.029	0.985	0.011	0	0	1	0.72	1	3
MFI2	0.036	0.078	0.12	0	1.086	0.581	0.021	0	0	1	0.72	1	3
PQLC2	0.069	0.158	0.247	0.001	1.954	0.582	0.045	0	0	1	0.72	1	4
PRKRIP1	0.02	0.046	0.072	0.001	6.863	0.651	0.013	0	0	1	0.72	1	10
PSRC1	0.03	0.07	0.11	0.001	8.765	0.555	0.02	0	0	1	0.72	1	11
SLC25A29	0.036	0.082	0.127	0	2.513	0.926	0.023	0	0	1	0.72	1	8
TMCC1	-0.097	-0.064	-0.03	0	9.427	0.492	0.017	0	0	1	0.72	1	11
TMEM27	-0.202	-0.133	-0.064	0	0.891	0.641	0.035	0	0	1	0.72	1	3
TSPAN33	0.031	0.068	0.104	0	3.656	0.962	0.019	0	0	1	0.72	1	11
INPP5E	0.056	0.132	0.208	0.001	8.873	0.262	0.039	0.002	21.106	1.268	0.731	1	8
LGTN	0.022	0.051	0.08	0.001	2.931	0.402	0.015	0	0	1	0.731	1	4
C6orf165	-0.348	-0.219	-0.09	0.001	0.555	0.456	0.066	0	0	1	0.865	1	2
CCL15	-0.261	-0.164	-0.067	0.001	1.35	0.509	0.049	0	0	1	0.865	1	3
SOCS4	-0.08	-0.05	-0.02	0.001	5.146	0.881	0.015	0	0	1	0.865	1	11
FAM223B	-0.755	-0.472	-0.19	0.001	0.059	0.807	0.144	0	0	1	0.902	1	2
LDHAL6A	-0.09	-0.057	-0.023	0.001	4.251	0.643	0.017	0	0	1	0.902	1	7
TMED1	0.016	0.039	0.063	0.001	6.01	0.739	0.012	0	0	1	0.902	1	10
CHURC1	-0.308	-0.192	-0.075	0.001	1.767	0.987	0.059	0	0	1	0.98	1	9
NT5C3	-0.088	-0.055	-0.022	0.001	3.139	0.535	0.017	0	0	1	0.98	1	5
