lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
ATP6V0D2	-0.545	-0.388	-0.231	0	2.579	0.461	0.08	0	0	1	0.029	0.303	4
SECTM1	-0.417	-0.292	-0.167	0	3.12	0.794	0.064	0	0	1	0.049	0.524	7
AMTN	-0.434	-0.3	-0.165	0	1.401	0.705	0.069	0	0	1	0.093	0.989	4
FAM205B	-0.173	-0.118	-0.064	0	0.076	0.783	0.028	0	0	1	0.101	1	2
MLEC	0.134	0.253	0.372	0	1.782	0.939	0.061	0	0	1	0.132	1	7
TMPRSS11F	-0.733	-0.498	-0.262	0	1.043	0.307	0.12	0.002	4.091	1.043	0.133	1	2
MFI2	0.043	0.085	0.128	0	0.196	0.906	0.021	0	0	1	0.226	1	3
ARL14EP	-0.408	-0.27	-0.133	0	2.684	0.612	0.07	0	0	1	0.263	1	5
HDAC3	0.077	0.163	0.248	0	4.766	0.574	0.044	0	0	1	0.263	1	7
IL12RB2	0.178	0.373	0.569	0	3.83	0.43	0.1	0	0	1	0.263	1	5
KCNN2	-0.267	-0.175	-0.083	0	0.087	0.957	0.047	0	0	1	0.263	1	3
MAPK7	0.074	0.154	0.234	0	6	0.423	0.041	0	0	1	0.263	1	7
RPS4Y2	0.606	1.222	1.839	0	0.592	0.744	0.315	0	0	1	0.263	1	3
TM9SF4	0.099	0.208	0.316	0	4.487	0.611	0.055	0	0	1	0.263	1	7
TPSG1	-0.192	-0.126	-0.061	0	3.059	0.548	0.034	0	0	1	0.263	1	5
ZNF585B	0.124	0.257	0.39	0	4.17	0.383	0.068	0.001	4.086	1.043	0.263	1	5
RNF5P1	-1.01	-0.659	-0.307	0	1.591	0.451	0.179	0	0	1	0.316	1	3
EFTUD1	0.16	0.35	0.54	0	0.211	0.9	0.097	0	0	1	0.346	1	3
ELP4	0.125	0.271	0.417	0	3.435	0.753	0.075	0	0	1	0.346	1	7
SRBD1	0.13	0.286	0.441	0	2.433	0.876	0.079	0	0	1	0.346	1	7
ALMS1P	0.093	0.209	0.325	0	1.089	0.58	0.059	0	0	1	0.352	1	3
CHP2	-0.239	-0.154	-0.069	0	1.211	0.876	0.043	0	0	1	0.352	1	5
LOC100507395	-0.425	-0.273	-0.121	0	0.709	0.4	0.077	0	0	1	0.352	1	2
OR7D4	-0.508	-0.327	-0.146	0	0.149	0.699	0.092	0	0	1	0.352	1	2
PIP4K2B	0.081	0.182	0.284	0	2.488	0.477	0.052	0	0	1	0.352	1	4
RTBDN	-0.149	-0.095	-0.042	0	0.61	0.962	0.027	0	0	1	0.352	1	5
SH2D4A	0.072	0.164	0.256	0	3.479	0.481	0.047	0	0	1	0.352	1	5
SS18	0.151	0.338	0.525	0	2.286	0.515	0.095	0	0	1	0.352	1	4
STX12	0.095	0.211	0.326	0	3.097	0.797	0.059	0	0	1	0.352	1	7
CDYL	0.105	0.239	0.374	0	0.863	0.93	0.069	0	0	1	0.374	1	5
HAVCR2	0.076	0.175	0.274	0.001	6.198	0.401	0.051	0.001	3.191	1.033	0.393	1	7
RFTN1	0.093	0.215	0.338	0.001	3.086	0.544	0.063	0	0	1	0.413	1	5
CYP2C9	-0.149	-0.095	-0.041	0.001	0.965	0.617	0.028	0	0	1	0.42	1	3
LCMT2	0.082	0.194	0.305	0.001	5.984	0.425	0.057	0	0	1	0.425	1	7
CDIN1	0.116	0.274	0.433	0.001	0.456	0.796	0.081	0	0	1	0.442	1	3
TPI1	0.07	0.166	0.262	0.001	3.914	0.688	0.049	0	0	1	0.442	1	7
CLUHP3	-0.498	-0.315	-0.131	0.001	0.996	0.318	0.094	0	0	1	0.474	1	2
FLJ21369	-0.275	-0.173	-0.072	0.001	0.338	0.561	0.052	0	0	1	0.481	1	2
RFC1	0.104	0.252	0.4	0.001	2.967	0.563	0.075	0	0	1	0.481	1	5
GLOD5	-0.092	-0.058	-0.024	0.001	0.511	0.972	0.017	0	0	1	0.49	1	5
HIST1H2AJ	-0.242	-0.152	-0.062	0.001	0.9	0.638	0.046	0	0	1	0.505	1	3
IYD	-0.227	-0.142	-0.057	0.001	2.243	0.691	0.043	0	0	1	0.529	1	5
RNF168	0.08	0.198	0.317	0.001	1.486	0.829	0.061	0	0	1	0.529	1	5
SLC35A5	0.133	0.329	0.526	0.001	3.605	0.462	0.1	0	0	1	0.529	1	5
TBC1D5	0.083	0.205	0.328	0.001	2.705	0.608	0.063	0	0	1	0.529	1	5
LOC255177	-0.094	-0.059	-0.023	0.001	0.782	0.377	0.018	0	0	1	0.54	1	2
AFTPH	0.068	0.172	0.277	0.001	4.42	0.62	0.053	0	0	1	0.552	1	7
CDC37L1	0.084	0.219	0.353	0.001	5.688	0.459	0.069	0	0	1	0.552	1	7
CDK4	0.072	0.186	0.299	0.001	2.756	0.839	0.058	0	0	1	0.552	1	7
CUL1	0.052	0.138	0.223	0.002	2.245	0.896	0.043	0	0	1	0.552	1	7
ETS1	0.085	0.222	0.359	0.001	6.199	0.401	0.07	0.001	3.207	1.033	0.552	1	7
HIST1H3H	-0.807	-0.502	-0.197	0.001	0.415	0.813	0.156	0	0	1	0.552	1	3
MIR943	0.138	0.353	0.568	0.001	0.838	0.36	0.11	0	0	1	0.552	1	2
PDZD7	-0.266	-0.164	-0.063	0.001	2.319	0.803	0.052	0	0	1	0.552	1	6
PGRMC2	0.089	0.233	0.376	0.001	7.784	0.254	0.073	0.008	22.92	1.297	0.552	1	7
PI4K2B	0.068	0.18	0.291	0.002	5.279	0.509	0.057	0	0	1	0.552	1	7
PNPLA8	0.077	0.203	0.329	0.002	1.804	0.937	0.064	0	0	1	0.552	1	7
SLC9A9	0.081	0.211	0.341	0.001	4.016	0.404	0.066	0	0.404	1.004	0.552	1	5
SULT1A3	-1.201	-0.746	-0.292	0.001	1.05	0.305	0.232	0.009	4.793	1.05	0.552	1	2
TMEM187	0.062	0.161	0.261	0.002	4.462	0.614	0.051	0	0	1	0.552	1	7
