lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
CNDP2	0.052	0.075	0.099	0	1.37	0.504	0.012	0	0	1	0	0	3
UBIAD1	0.034	0.054	0.074	0	2.123	0.547	0.01	0	0	1	0	0.004	4
COMMD2	0.059	0.101	0.143	0	1.503	0.472	0.021	0	0	1	0.008	0.076	3
TMCC1	-0.111	-0.077	-0.043	0	0.96	0.811	0.017	0	0	1	0.021	0.206	4
TMEM25	-0.315	-0.213	-0.111	0	0.024	0.999	0.052	0	0	1	0.078	0.757	4
TMED1	0.024	0.048	0.072	0	0.574	0.751	0.012	0	0	1	0.184	1	3
INPP5E	0.056	0.117	0.177	0	0.48	0.787	0.031	0	0	1	0.186	1	3
TSPAN14	0.033	0.069	0.105	0	1.852	0.604	0.018	0	0	1	0.186	1	4
TSPAN33	0.035	0.074	0.113	0	0.49	0.921	0.02	0	0	1	0.186	1	4
CTGF	-0.275	-0.179	-0.082	0	0.439	0.803	0.049	0	0	1	0.245	1	3
RPL23AP7	0.032	0.069	0.106	0	1.185	0.553	0.019	0	0	1	0.245	1	3
RYBP	0.042	0.092	0.143	0	0.782	0.854	0.026	0	0	1	0.251	1	4
SLC25A29	0.039	0.087	0.134	0	0.688	0.709	0.024	0	0	1	0.255	1	3
SPARCL1	-0.042	-0.027	-0.012	0	1.29	0.732	0.008	0	0	1	0.255	1	4
NOMO1	-0.102	-0.065	-0.029	0	0.37	0.831	0.019	0	0	1	0.283	1	3
C1orf171	0.053	0.122	0.191	0.001	0.915	0.633	0.035	0	0	1	0.309	1	3
RPL31	0.022	0.051	0.08	0.001	0.406	0.939	0.015	0	0	1	0.309	1	4
PIGV	0.024	0.056	0.089	0.001	1.008	0.604	0.017	0	0	1	0.375	1	3
HEBP1	0.018	0.042	0.067	0.001	0.654	0.721	0.013	0	0	1	0.391	1	3
FAM44B	0.016	0.038	0.061	0.001	0.123	0.94	0.012	0	0	1	0.418	1	3
Kua	0.022	0.055	0.088	0.001	0.235	0.889	0.017	0	0	1	0.418	1	3
PFKP	-0.107	-0.067	-0.027	0.001	0.05	0.975	0.02	0	0	1	0.418	1	3
RRAGD	0.029	0.072	0.114	0.001	1.24	0.743	0.022	0	0	1	0.418	1	4
SHD	-0.16	-0.1	-0.04	0.001	0.068	0.967	0.031	0	0	1	0.454	1	3
TFG	0.042	0.108	0.174	0.001	0.159	0.924	0.034	0	0	1	0.505	1	3
ANKRD32	0.047	0.122	0.198	0.002	0.878	0.645	0.039	0	0	1	0.548	1	3
ZNF331	-0.074	-0.046	-0.017	0.002	1.362	0.714	0.014	0	0	1	0.548	1	4
DENND2A	0.026	0.069	0.112	0.002	0.333	0.954	0.022	0	0	1	0.563	1	4
HERPUD1	-0.101	-0.062	-0.023	0.002	0.294	0.961	0.02	0	0	1	0.563	1	4
SC5DL	-0.096	-0.059	-0.022	0.002	1.924	0.382	0.019	0	0	1	0.563	1	3
SLC2A12	0.028	0.076	0.124	0.002	1.663	0.645	0.024	0	0	1	0.563	1	4
VPS13B	0.027	0.073	0.119	0.002	1.591	0.662	0.023	0	0	1	0.563	1	4
NAP1L4	0.013	0.036	0.059	0.002	0.306	0.858	0.012	0	0	1	0.585	1	3
SERTAD4	-0.188	-0.115	-0.042	0.002	0.208	0.976	0.037	0	0	1	0.585	1	4
TIMP2	0.018	0.049	0.08	0.002	3.065	0.382	0.016	0	2.127	1.022	0.585	1	4
MEF2D	-0.099	-0.061	-0.022	0.002	0.098	0.992	0.02	0	0	1	0.586	1	4
FHL2	-0.133	-0.081	-0.029	0.002	0.132	0.936	0.027	0	0	1	0.589	1	3
NDEL1	-0.089	-0.054	-0.019	0.002	2.602	0.457	0.018	0	0	1	0.621	1	4
SLC20A1	-0.108	-0.066	-0.023	0.003	0.841	0.84	0.022	0	0	1	0.64	1	4
C3orf39	-0.082	-0.049	-0.017	0.003	0.15	0.928	0.017	0	0	1	0.656	1	3
DBP	-0.13	-0.078	-0.027	0.003	1.731	0.63	0.026	0	0	1	0.656	1	4
KIAA0513	-0.086	-0.052	-0.017	0.003	1.933	0.586	0.017	0	0	1	0.656	1	4
SLC25A3	-0.046	-0.027	-0.009	0.003	0.466	0.926	0.009	0	0	1	0.656	1	4
TCEA3	0.034	0.099	0.165	0.003	0.641	0.887	0.033	0	0	1	0.656	1	4
TMEM98	0.035	0.104	0.172	0.003	1.068	0.586	0.035	0	0	1	0.656	1	3
USP46	0.016	0.046	0.076	0.003	0.027	0.987	0.015	0	0	1	0.656	1	3
CHURC1	-0.31	-0.186	-0.061	0.003	0.267	0.966	0.064	0	0	1	0.667	1	4
NMT1	0.019	0.057	0.095	0.003	2.053	0.562	0.019	0	0	1	0.667	1	4
