ID	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies	infl.same.sign.logFC	infl.nstudies	sensi.global	sensi.specific
AARSD1	-0.066	-0.042	-0.018	0.001	1.44	0.487	0.012	0	0	1	0.046	0.451	3	3	GSE28521_temporal	0.980157806087739	all.p.values < 0.05
ACTR1B	-0.113	-0.076	-0.039	0	0.875	0.831	0.019	0	0	1	0.015	0.148	4	3	non	0.981086355177925	all.p.values < 0.05
AGPAT7	-0.15	-0.099	-0.047	0	0.33	0.848	0.026	0	0	1	0.025	0.243	3	3	non	0.889065339948034	all.p.values < 0.05
AHI1	-0.113	-0.073	-0.032	0	0.079	0.961	0.021	0	0	1	0.041	0.396	3	3	non	0.906561516874382	all.p.values < 0.05
AIFM1	-0.078	-0.052	-0.025	0	1.076	0.783	0.014	0	0	1	0.021	0.207	4	4	non	0.874969691275951	all.p.values < 0.05
ANKRD32	0.061	0.136	0.212	0	0.35	0.84	0.039	0	0	1	0.039	0.38	3	3	non	0.976512963070305	all.p.values < 0.05
BSCL2	-0.064	-0.043	-0.023	0	0.443	0.931	0.01	0	0	1	0.011	0.103	4	4	GSE28521_frontal	0.765954129277843	all.p.values < 0.05
C1orf171	0.068	0.137	0.206	0	0.166	0.92	0.035	0	0	1	0.018	0.178	3	3	non	0.897566686177982	all.p.values < 0.05
C3orf39	-0.093	-0.061	-0.028	0	0.11	0.946	0.017	0	0	1	0.031	0.302	3	3	non	0.727550710983968	all.p.values < 0.05
C5orf16	-0.22	-0.143	-0.066	0	1.505	0.471	0.039	0	0	1	0.031	0.302	3	3	GSE28521_cerebellum,GSE28521_frontal	0.986139572729241	all.p.values < 0.05
C5orf21	0.019	0.04	0.061	0	0.61	0.737	0.011	0	0	1	0.028	0.275	3	3	non	0.912654273580096	all.p.values < 0.05
C6orf136	-0.075	-0.05	-0.025	0	0.567	0.753	0.013	0	0	1	0.018	0.178	3	3	non	0.980689296809805	all.p.values < 0.05
C9orf45	-0.113	-0.072	-0.032	0	0.336	0.845	0.021	0	0	1	0.04	0.385	3	3	non	0.929987549060291	all.p.values < 0.05
