lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
CNDP2	0.05	0.072	0.095	0	5.866	0.753	0.012	0	0	1	0	0	10
UBIAD1	0.033	0.053	0.072	0	7.616	0.666	0.01	0	0	1	0.001	0.014	11
COMMD2	0.055	0.096	0.137	0	7.123	0.624	0.021	0	0	1	0.03	0.322	10
TMCC1	-0.11	-0.077	-0.044	0	5.05	0.888	0.017	0	0	1	0.03	0.322	11
LOC157273	-0.184	-0.128	-0.071	0	0.045	0.831	0.029	0	0	1	0.057	0.614	2
TMEM27	-0.213	-0.144	-0.076	0	1.428	0.49	0.035	0	0	1	0.148	1	3
TSPAN33	0.04	0.077	0.113	0	2.6	0.989	0.019	0	0	1	0.148	1	11
FAM205B	-0.163	-0.109	-0.055	0	0.643	0.423	0.028	0	0	1	0.229	1	2
TMED1	0.024	0.048	0.071	0	1.628	0.996	0.012	0	0	1	0.229	1	10
MFI2	0.04	0.082	0.124	0	0.09	0.956	0.021	0	0	1	0.365	1	3
FAM222A-AS1	-0.125	-0.081	-0.038	0	0.223	0.637	0.022	0	0	1	0.532	1	2
INPP5E	0.05	0.108	0.166	0	3.468	0.839	0.03	0	0	1	0.532	1	8
SLC25A29	0.04	0.086	0.131	0	2.839	0.9	0.023	0	0	1	0.532	1	8
RYBP	0.039	0.085	0.132	0	5.046	0.888	0.024	0	0	1	0.576	1	11
C1orf171	0.053	0.122	0.191	0.001	0.915	0.633	0.035	0	0	1	0.758	1	3
HEBP1	0.019	0.043	0.067	0.001	6.936	0.644	0.012	0	0	1	0.758	1	10
LOC101927377	0.038	0.087	0.135	0	0.596	0.44	0.025	0	0	1	0.758	1	2
PIGV	0.024	0.055	0.087	0.001	6.443	0.489	0.016	0	0	1	0.758	1	8
RPL23AP7	0.029	0.066	0.103	0	4.82	0.438	0.019	0	0	1	0.758	1	6
RPL31	0.022	0.05	0.079	0.001	5.929	0.655	0.015	0	0	1	0.758	1	9
GS1-24F4.2	-0.183	-0.116	-0.048	0.001	0.066	0.798	0.034	0	0	1	0.875	1	2
SPARCL1	-0.038	-0.024	-0.01	0.001	3.622	0.934	0.007	0	0	1	0.875	1	10
C1orf168	0.033	0.08	0.127	0.001	0.003	0.958	0.024	0	0	1	0.912	1	2
OSR2	-0.168	-0.106	-0.044	0.001	4.062	0.541	0.032	0	0	1	0.926	1	6
2'-PDE	-0.03	-0.002	0.026	0.894	0.955	0.62	0.014	0	0	1	1	1	3
