ID	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies	infl.same.sign.logFC	infl.nstudies	sensi.global	sensi.specific
AMTN	-0.434	-0.3	-0.165	0	1.401	0.705	0.069	0	0	1	0.02	0.218	4	4	non	0.975524689479277	all.p.values < 0.05
ATP6V0D2	-0.517	-0.368	-0.219	0	3.242	0.518	0.076	0	0	1	0.006	0.064	5	5	GSE6575,GSE89594	0.903651624923831	all.p.values < 0.05
BSCL2	-0.064	-0.044	-0.023	0	2.847	0.944	0.01	0	0	1	0.029	0.316	9	8	GSE28521_frontal	0.730142293565719	all.p.values < 0.05
CNDP2	0.046	0.069	0.091	0	6.64	0.675	0.012	0	0	1	0	0.001	10	6	GSE28521_cerebellum,GSE28521_temporal	0.857162309186635	all.p.values < 0.05
COMMD2	0.077	0.127	0.177	0	10.095	0.343	0.026	0.001	10.849	1.122	0.004	0.043	10	7	GSE28521_frontal,GSE28521_temporal	0.820734261958255	all.p.values < 0.05
DFFA	0.062	0.11	0.158	0	7.198	0.515	0.025	0	0	1	0.013	0.14	9	6	GSE28521_temporal	0.886134541898051	all.p.values < 0.05
FAM205B	-0.173	-0.118	-0.064	0	0.076	0.783	0.028	0	0	1	0.026	0.284	2	2	GSE6575	0.573364393258863	GSE6575
FCGBP	0.156	0.29	0.424	0	11.497	0.243	0.068	0.009	21.716	1.277	0.03	0.32	10	9	non	0.932904595045423	all.p.values < 0.05
ISOC2	0.037	0.07	0.104	0	6.712	0.568	0.017	0	0	1	0.035	0.378	9	7	non	0.93018752569552	all.p.values < 0.05
LINC01362	-0.235	-0.17	-0.105	0	0.859	0.354	0.033	0	0	1	0.002	0.021	2	2	GSE6575	0.559731626905364	GSE6575
LOC400566	-0.183	-0.128	-0.073	0	0.974	0.614	0.028	0	0	1	0.011	0.122	3	3	GSE28521_frontal	0.913353199096673	all.p.values < 0.05
LOC91561	0.024	0.041	0.058	0	1.083	0.781	0.009	0	0	1	0.007	0.079	4	3	non	0.980942409860523	all.p.values < 0.05
LRRCC1	0.054	0.1	0.147	0	5.704	0.839	0.024	0	0	1	0.031	0.33	11	10	GSE28521_frontal	0.811360647219454	all.p.values < 0.05
MLEC	0.134	0.253	0.372	0	1.782	0.939	0.061	0	0	1	0.033	0.358	7	7	non	0.941020918378894	all.p.values < 0.05
PFKP	-0.129	-0.09	-0.051	0	6.922	0.437	0.02	0	0	1	0.011	0.122	8	5	GSE28521_temporal	0.140063778255421	all.p.values < 0.05
PIB5PA	-0.147	-0.1	-0.053	0	2.354	0.502	0.024	0	0	1	0.033	0.355	4	3	non	0.714961160263119	all.p.values < 0.05
RYBP	0.055	0.101	0.148	0	8.121	0.617	0.024	0	0	1	0.026	0.284	11	9	GSE28521_frontal,GSE28521_temporal	0.91877201491632	all.p.values < 0.05
SECTM1	-0.418	-0.296	-0.174	0	3.217	0.864	0.062	0	0	1	0.007	0.079	8	7	GSE1233022	0.691797658089844	all.p.values < 0.05
SLC29A1	-0.182	-0.132	-0.081	0	5.631	0.688	0.026	0	0	1	0.002	0.021	9	8	GSE28521_frontal	0.973101728512962	all.p.values < 0.05
SMARCA5	0.036	0.069	0.101	0	6.47	0.595	0.017	0	0	1	0.036	0.391	9	6	GSE28521_frontal,GSE28521_temporal	0.710232693561601	GSE28521_frontal
TCEA3	0.075	0.136	0.196	0	4.879	0.77	0.031	0	0	1	0.018	0.194	9	8	non	0.891678801638464	all.p.values < 0.05
TMCC1	-0.135	-0.091	-0.048	0	11.711	0.305	0.022	0.001	14.61	1.171	0.036	0.391	11	9	GSE28521_frontal,GSE28521_temporal	0.691952982831345	all.p.values < 0.05
TMED1	0.032	0.056	0.08	0	2.864	0.969	0.012	0	0	1	0.01	0.106	10	6	GSE28521_frontal	0.586443478383543	GSE28521_frontal
TSPAN33	0.049	0.086	0.122	0	6.303	0.789	0.019	0	0	1	0.011	0.116	11	8	GSE28521_frontal,GSE28521_temporal	0.924014033222232	all.p.values < 0.05
UBIAD1	0.036	0.056	0.075	0	5.851	0.828	0.01	0	0	1	0	0.003	11	8	GSE28521_cerebellum,GSE28521_frontal	0.659119447516668	all.p.values < 0.05
USP46	0.032	0.06	0.089	0	4.404	0.883	0.015	0	0	1	0.038	0.407	10	8	GSE28521_cerebellum	0.870374046486434	all.p.values < 0.05
ZFR	0.029	0.051	0.073	0	4.322	0.932	0.011	0	0	1	0.012	0.132	11	8	GSE28521_cerebellum,GSE28521_temporal	0.950226941149809	all.p.values < 0.05
