lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
CNDP2	0.056	0.082	0.109	0	2.496	0.287	0.014	0	19.882	1.248	0	0	3
INPP5E	0.105	0.166	0.226	0	0.91	0.635	0.031	0	0	1	0	0.004	3
UGCGL2	0.038	0.074	0.11	0	0.276	0.871	0.018	0	0	1	0.18	1	3
TMCC1	-0.1	-0.066	-0.032	0	0.517	0.915	0.017	0	0	1	0.284	1	4
TMEM25	-0.298	-0.196	-0.094	0	0.312	0.958	0.052	0	0	1	0.284	1	4
UBIAD1	0.023	0.047	0.072	0	3.742	0.291	0.013	0	19.825	1.247	0.284	1	4
CAMKK2	-0.231	-0.147	-0.062	0.001	0.253	0.969	0.043	0	0	1	0.464	1	4
COMMD2	0.031	0.073	0.115	0.001	1.415	0.493	0.021	0	0	1	0.464	1	3
FAM44B	0.019	0.042	0.064	0	0.587	0.745	0.012	0	0	1	0.464	1	3
HERPUD1	-0.108	-0.069	-0.03	0.001	2.533	0.469	0.02	0	0	1	0.464	1	4
KIAA0828	-0.069	-0.044	-0.019	0	1.983	0.371	0.013	0	0	1	0.464	1	3
LOC57149	0.017	0.039	0.062	0.001	0.029	0.985	0.011	0	0	1	0.464	1	3
PRKRIP1	0.02	0.046	0.073	0.001	1.955	0.582	0.014	0	0	1	0.464	1	4
SLC25A29	0.037	0.084	0.132	0.001	0.359	0.836	0.024	0	0	1	0.464	1	3
DBP	-0.14	-0.088	-0.037	0.001	1.145	0.766	0.026	0	0	1	0.504	1	4
DRG2	0.019	0.047	0.075	0.001	0.647	0.886	0.014	0	0	1	0.504	1	4
LGTN	0.02	0.05	0.079	0.001	0.913	0.633	0.015	0	0	1	0.504	1	3
OSBPL6	-0.093	-0.058	-0.023	0.001	0.905	0.824	0.018	0	0	1	0.504	1	4
SOCS4	-0.082	-0.051	-0.021	0.001	1.241	0.743	0.016	0	0	1	0.504	1	4
TFG	0.044	0.109	0.175	0.001	0.085	0.958	0.034	0	0	1	0.504	1	3
TSPAN33	0.026	0.065	0.104	0.001	1.926	0.588	0.02	0	0	1	0.504	1	4
VPS13B	0.032	0.078	0.124	0.001	1.718	0.633	0.023	0	0	1	0.504	1	4
MRPS16	0.019	0.05	0.081	0.001	1.406	0.495	0.016	0	0	1	0.538	1	3
NT5C3	-0.088	-0.054	-0.021	0.001	0.008	0.996	0.017	0	0	1	0.538	1	3
PIGV	0.021	0.053	0.086	0.001	0.766	0.682	0.017	0	0	1	0.538	1	3
PSRC1	0.027	0.07	0.112	0.001	1.382	0.71	0.022	0	0	1	0.547	1	4
CHURC1	-0.323	-0.198	-0.074	0.002	0.431	0.934	0.064	0	0	1	0.548	1	4
CTGF	-0.25	-0.153	-0.057	0.002	0.446	0.8	0.049	0	0	1	0.548	1	3
MIR16	0.019	0.051	0.083	0.002	1.062	0.588	0.016	0	0	1	0.548	1	3
MPPE1	0.04	0.108	0.176	0.002	0.086	0.958	0.035	0	0	1	0.548	1	3
RYBP	0.029	0.08	0.13	0.002	1.006	0.8	0.026	0	0	1	0.548	1	4
SCG3	-0.247	-0.151	-0.056	0.002	3.677	0.299	0.049	0.002	18.415	1.226	0.548	1	4
TMED1	0.014	0.039	0.063	0.002	0.351	0.839	0.012	0	0	1	0.548	1	3
TSPAN14	0.021	0.057	0.093	0.002	2.968	0.397	0.018	0	0	1	0.548	1	4
CHFR	0.021	0.059	0.097	0.002	0.453	0.929	0.019	0	0	1	0.549	1	4
FRAG1	0.023	0.062	0.102	0.002	0.59	0.745	0.02	0	0	1	0.549	1	3
UCN	0.019	0.053	0.086	0.002	0.666	0.881	0.017	0	0	1	0.549	1	4
RGS5	0.028	0.079	0.13	0.002	2.194	0.533	0.026	0	0	1	0.555	1	4
PTEN	-0.069	-0.042	-0.015	0.002	0.198	0.906	0.014	0	0	1	0.603	1	3
RPL31	0.016	0.044	0.073	0.003	0.379	0.944	0.015	0	0	1	0.603	1	4
SURF4	-0.067	-0.04	-0.014	0.003	2.303	0.316	0.013	0	13.151	1.151	0.63	1	3
GORASP2	0.008	0.022	0.037	0.003	1.61	0.657	0.007	0	0	1	0.636	1	4
NR4A2	-0.321	-0.193	-0.066	0.003	0.609	0.738	0.065	0	0	1	0.636	1	3
RRM2B	0.027	0.077	0.128	0.003	2.101	0.552	0.026	0	0	1	0.636	1	4
TEX264	0.01	0.028	0.047	0.003	0.976	0.807	0.01	0	0	1	0.636	1	4
C5	0.024	0.073	0.122	0.003	1.33	0.722	0.025	0	0	1	0.695	1	4
DBT	0.013	0.038	0.064	0.003	1.63	0.653	0.013	0	0	1	0.695	1	4
EIF2B1	0.012	0.036	0.061	0.003	0.758	0.86	0.012	0	0	1	0.695	1	4
CASC4	-0.123	-0.073	-0.023	0.004	0.238	0.888	0.026	0	0	1	0.707	1	3
COL16A1	0.029	0.092	0.155	0.004	1.075	0.783	0.032	0	0	1	0.707	1	4
CRK	-0.095	-0.056	-0.017	0.004	0.074	0.995	0.02	0	0	1	0.707	1	4
FHL2	-0.129	-0.077	-0.025	0.004	0.075	0.963	0.027	0	0	1	0.707	1	3
JUN	-0.124	-0.074	-0.023	0.005	0.234	0.972	0.026	0	0	1	0.707	1	4
MEF2D	-0.095	-0.056	-0.017	0.005	0.442	0.931	0.02	0	0	1	0.707	1	4
MPDZ	0.016	0.05	0.084	0.004	1.719	0.633	0.017	0	0	1	0.707	1	4
MRPL21	-0.124	-0.073	-0.022	0.005	0.014	0.993	0.026	0	0	1	0.707	1	3
